id_lokalu,id_kandydata,ile
12624,2417,1
12624,2418,0
12624,3296,220
12624,3297,27
12624,3298,16
12624,3299,6
12624,3300,24
12624,3301,6
12624,3302,5
12624,3303,8
12624,3304,16
12624,3305,2
12624,3306,4
12624,3307,2
12624,3308,1
12624,3309,0
12624,3310,6
12624,3311,0
12624,3312,0
12624,3313,0
12624,3314,3
12624,3315,1
12624,3316,3
12624,3317,1
12624,3318,10
12624,3319,0
12624,3320,1
12624,3321,0
12624,3322,1
12624,3323,2
12624,3324,0
12624,3325,0
12624,3326,0
12624,3327,0
12624,3328,1
12624,3329,3
12624,3330,1
12624,3331,0
12624,3332,1
12624,3333,2
12624,3334,1
12624,3335,5
12624,422,365
12624,423,42
12624,424,27
12624,425,30
12624,426,12
12624,427,3
12624,428,8
12624,429,1
12624,430,3
12624,431,2
12624,432,1
12624,433,0
12624,434,2
12624,435,1
12624,436,2
12624,437,2
12624,438,0
12624,439,2
12624,440,0
12624,441,37
12624,442,0
12624,443,1
12624,444,1
12624,445,1
12624,446,0
12624,447,1
12624,448,1
12624,449,2
12624,450,1
12624,451,1
12624,452,0
12624,453,1
12624,454,1
12624,455,0
12624,456,0
12624,457,0
12624,458,0
12624,459,1
12624,460,2
12624,461,24
12624,4206,92
12624,4207,7
12624,4208,6
12624,4209,8
12624,4210,0
12624,4211,0
12624,4212,7
12624,4213,0
12624,4214,0
12624,4215,3
12624,4216,0
12624,4217,1
12624,4218,1
12624,4219,0
12624,4220,0
12624,4221,1
12624,4222,1
12624,4223,1
12624,4224,1
12624,4225,1
12624,4226,1
12624,4227,0
12624,4228,0
12624,4229,0
12624,4230,1
12624,4231,0
12624,4232,0
12624,4233,2
12624,4234,1
12624,4235,1
12624,4236,0
12624,4237,1
12624,4238,0
12624,4239,0
12624,4240,0
12624,4241,1
12624,4242,0
12624,4243,1
12624,4244,2
12624,4245,2
12624,1335,891
12624,1336,49
12624,1337,45
12624,1338,3
