id,id_powiatu,nazwa
565,84,gm. Krzeszyce
566,84,gm. Lubniewice
567,84,gm. S³oñsk
568,84,gm. Sulêcin
569,84,gm. Torzym
570,85,gm. Lubrza
571,85,gm. £agów
572,85,gm. Sk¹pe
573,85,gm. Szczaniec
574,85,gm. Œwiebodzin
575,85,gm. Zb¹szynek
576,86,gm. S³awa
577,86,gm. Szlichtyngowa
578,86,gm. Wschowa
579,87,Zielona Góra
580,88,gm. Babimost
581,88,gm. Bojad³a
582,88,gm. Czerwieñsk
583,88,gm. Kargowa
584,88,gm. Nowogród Bobrzañski
585,88,gm. Sulechów
586,88,gm. Œwidnica
587,88,gm. Trzebiechów
588,88,gm. Zabór
589,89,gm. BrzeŸnica
590,89,gm. I³owa
591,89,gm. Ma³omice
592,89,gm. Niegos³awice
593,89,gm. Szprotawa
594,89,gm. Wymiarki
595,89,gm. ¯agañ
596,89,m. Gozdnica
597,89,m. ¯agañ
598,90,gm. Brody
599,90,gm. Jasieñ
600,90,gm. Lipinki £u¿yckie
601,90,gm. Lubsko
602,90,gm. Przewóz
603,90,gm. Trzebiel
604,90,gm. Tuplice
605,90,gm. ¯ary
606,90,m. £êknica
607,90,m. ¯ary
608,91,gm. Be³chatów
609,91,gm. Dru¿bice
610,91,gm. Kleszczów
611,91,gm. Kluki
612,91,gm. Rusiec
613,91,gm. Szczerców
614,91,gm. Zelów
615,91,m. Be³chatów
616,92,gm. Brzeziny
617,92,gm. Dmosin
618,92,gm. Je¿ów
619,92,gm. Rogów
620,92,m. Brzeziny
621,93,gm. Bedlno
622,93,gm. D¹browice
623,93,gm. Kroœniewice
624,93,gm. Krzy¿anów
625,93,gm. Kutno
626,93,gm. £aniêta
627,93,gm. Nowe Ostrowy
628,93,gm. Oporów
629,93,gm. Strzelce
630,93,gm. ¯ychlin
631,93,m. Kutno
632,94,gm. Buczek
633,94,gm. £ask
634,94,gm. Sêdziejowice
635,94,gm. Widawa
636,94,gm. Wodzierady
637,95,gm. Daszyna
638,95,gm. Góra Œwiêtej Ma³gorzaty
639,95,gm. Grabów
640,95,gm. £êczyca
641,95,gm. Pi¹tek
642,95,gm. Œwinice Warckie
643,95,gm. Witonia
644,95,m. £êczyca
645,96,gm. Bielawy
646,96,gm. Ch¹œno
647,96,gm. Domaniewice
648,96,gm. Kiernozia
649,96,gm. Kocierzew Po³udniowy
650,96,gm. £owicz
651,96,gm. £yszkowice
652,96,gm. Nieborów
653,96,gm. Zduny
654,96,m. £owicz
655,97,gm. Andrespol
656,97,gm. Brójce
657,97,gm. Koluszki
658,97,gm. Nowosolna
659,97,gm. Rzgów
660,97,gm. Tuszyn
661,98,£ódŸ
662,99,gm. Bia³aczów
663,99,gm. Drzewica
664,99,gm. Mniszków
665,99,gm. Opoczno
666,99,gm. Parady¿
667,99,gm. Poœwiêtne
668,99,gm. S³awno
669,99,gm. ¯arnów
670,100,gm. D³utów
671,100,gm. Dobroñ
672,100,gm. Ksawerów
673,100,gm. Lutomiersk
674,100,gm. Pabianice
675,100,m. Konstantynów £ódzki
676,100,m. Pabianice
677,101,gm. Dzia³oszyn
678,101,gm. Kie³czyg³ów
679,101,gm. Nowa BrzeŸnica
680,101,gm. Pajêczno
681,101,gm. Rz¹œnia
682,101,gm. Siemkowice
683,101,gm. Strzelce Wielkie
684,101,gm. Sulmierzyce
685,102,gm. Aleksandrów
686,102,gm. Czarnocin
687,102,gm. Gorzkowice
688,102,gm. Grabica
689,102,gm. £êki Szlacheckie
690,102,gm. Moszczenica
691,102,gm. Rêczno
692,102,gm. Rozprza
693,102,gm. Sulejów
694,102,gm. Wola Krzysztoporska
695,102,gm. Wolbórz
